,iteration,action_type,agent,money
1,0,Smart,Retail,911.1838833869582
2,0,Smart,Wholesale,1631.4837624758711
3,0,Smart,Regional Warehouse,1187.8724446429846
4,0,Smart,Factory,911.1838833869582
5,0,Dumb,Retail,178.97580681337934
6,0,Dumb,Wholesale,-24.281775549647673
7,0,Dumb,Regional Warehouse,-204.56337189211763
8,0,Dumb,Factory,178.97580681337934
9,0,Dumber,Retail,-539.4582916310953
10,0,Dumber,Wholesale,71.72694497604516
11,0,Dumber,Regional Warehouse,-175.78132079459252
12,0,Dumber,Factory,-539.4582916310953
13,1,Smart,Retail,3844.709961399413
14,1,Smart,Wholesale,1721.9680234635089
15,1,Smart,Regional Warehouse,578.0574893563733
16,1,Smart,Factory,3844.709961399413
17,1,Dumb,Retail,1201.3168547125479
18,1,Dumb,Wholesale,-4408.231664460108
19,1,Dumb,Regional Warehouse,-5588.07531505999
20,1,Dumb,Factory,1201.3168547125479
21,1,Dumber,Retail,-3450.772743608878
22,1,Dumber,Wholesale,-4270.069699296196
23,1,Dumber,Regional Warehouse,-5530.676087069574
24,1,Dumber,Factory,-3450.772743608878
25,2,Smart,Retail,3844.709961399413
26,2,Smart,Wholesale,1721.9680234635089
27,2,Smart,Regional Warehouse,578.0574893563733
28,2,Smart,Factory,3844.709961399413
29,2,Dumb,Retail,1201.3168547125479
30,2,Dumb,Wholesale,-4408.231664460108
31,2,Dumb,Regional Warehouse,-5588.07531505999
32,2,Dumb,Factory,1201.3168547125479
33,2,Dumber,Retail,-3450.772743608878
34,2,Dumber,Wholesale,-4270.069699296196
35,2,Dumber,Regional Warehouse,-5530.676087069574
36,2,Dumber,Factory,-3450.772743608878
37,3,Smart,Retail,3844.709961399413
38,3,Smart,Wholesale,1721.9680234635089
39,3,Smart,Regional Warehouse,578.0574893563733
40,3,Smart,Factory,3844.709961399413
41,3,Dumb,Retail,1201.3168547125479
42,3,Dumb,Wholesale,-4408.231664460108
43,3,Dumb,Regional Warehouse,-5588.07531505999
44,3,Dumb,Factory,1201.3168547125479
45,3,Dumber,Retail,-3450.772743608878
46,3,Dumber,Wholesale,-4270.069699296196
47,3,Dumber,Regional Warehouse,-5530.676087069574
48,3,Dumber,Factory,-3450.772743608878
49,4,Smart,Retail,3844.709961399413
50,4,Smart,Wholesale,1721.9680234635089
51,4,Smart,Regional Warehouse,578.0574893563733
52,4,Smart,Factory,3844.709961399413
53,4,Dumb,Retail,1201.3168547125479
54,4,Dumb,Wholesale,-4408.231664460108
55,4,Dumb,Regional Warehouse,-5588.07531505999
56,4,Dumb,Factory,1201.3168547125479
57,4,Dumber,Retail,-3450.772743608878
58,4,Dumber,Wholesale,-4270.069699296196
59,4,Dumber,Regional Warehouse,-5530.676087069574
60,4,Dumber,Factory,-3450.772743608878
